id_permintaan,id_poktan,id_komoditas,tanggal_permintaan,volume_permintaan,harga_satuan_transaksi,fase_musim,curah_hujan_mm,status_data
81,2,3,2025-02-05,47.8,92010.18,Rendeng,228.97,Cleaned
82,3,1,2025-02-05,328.57,23553.31,Rendeng,415.78,Cleaned
83,3,2,2025-02-05,418.23,15368.9,Rendeng,355.82,Cleaned
84,3,3,2025-02-05,44.82,87236.52,Rendeng,282.72,Cleaned
85,4,1,2025-02-05,235.32,26165.57,Rendeng,215.89,Cleaned
86,4,2,2025-02-05,259.86,13894.7,Rendeng,277.75,Cleaned
87,4,3,2025-02-05,59.15,88669.02,Rendeng,281.3,Cleaned
88,5,1,2025-02-05,326.3,27045.16,Rendeng,382.4,Cleaned
89,5,2,2025-02-05,257.62,14039.05,Rendeng,359.39,Cleaned
90,5,3,2025-02-05,55.13,80538.24,Rendeng,421.8,Cleaned
91,1,1,2025-02-12,307.77,27356.98,Rendeng,318.05,Cleaned
92,1,2,2025-02-12,377.49,14042.93,Rendeng,229.9,Cleaned
93,1,3,2025-02-12,42.98,91024.55,Rendeng,378.31,Cleaned
94,2,1,2025-02-12,273.79,24961.39,Rendeng,390.2,Cleaned
95,2,2,2025-02-12,268.63,14241.69,Rendeng,340.32,Cleaned
96,2,3,2025-02-12,35.36,91302.75,Rendeng,392.74,Cleaned
97,3,1,2025-02-12,323.69,24726.53,Rendeng,323.45,Cleaned
98,3,2,2025-02-12,320.88,15044.45,Rendeng,330.68,Cleaned
99,3,3,2025-02-12,50.05,82606.97,Rendeng,306.89,Cleaned
100,4,1,2025-02-12,281.23,25464.75,Rendeng,206.35,Cleaned
101,4,2,2025-02-12,186.77,13990.57,Rendeng,226.97,Cleaned
102,4,3,2025-02-12,54.4,83148.39,Rendeng,207.86,Cleaned
103,5,1,2025-02-12,272.58,27347.06,Rendeng,359.1,Cleaned
104,5,2,2025-02-12,235.82,14274.4,Rendeng,278.59,Cleaned
105,5,3,2025-02-12,48.39,87664.52,Rendeng,327.14,Cleaned
106,1,1,2025-02-19,332.32,24125.95,Rendeng,426.89,Cleaned
107,1,2,2025-02-19,450.89,15820.42,Rendeng,262.32,Cleaned
108,1,3,2025-02-19,51.75,78724.85,Rendeng,302.6,Cleaned
109,2,1,2025-02-19,320.6,27349.11,Rendeng,388.89,Cleaned
110,2,2,2025-02-19,294.04,14861.37,Rendeng,257.2,Cleaned
111,2,3,2025-02-19,30.81,80512.86,Rendeng,219.24,Cleaned
112,3,1,2025-02-19,297.88,22867.48,Rendeng,272.44,Cleaned
113,3,2,2025-02-19,304.82,14009.27,Rendeng,240.31,Cleaned
114,3,3,2025-02-19,74.63,85336.16,Rendeng,432.42,Cleaned
115,4,1,2025-02-19,284.61,24185.02,Rendeng,402.03,Cleaned
116,4,2,2025-02-19,324.12,15986.65,Rendeng,358.35,Cleaned
117,4,3,2025-02-19,49.65,83825.09,Rendeng,417.87,Cleaned
118,5,1,2025-02-19,206.51,23743.57,Rendeng,400.92,Cleaned
119,5,2,2025-02-19,391.43,15351.43,Rendeng,246.64,Cleaned
120,5,3,2025-02-19,57.52,88515.21,Rendeng,423.14,Cleaned
121,1,1,2025-02-26,363.28,23335.21,Rendeng,334.84,Cleaned
122,1,2,2025-02-26,227.25,14002.86,Rendeng,401.86,Cleaned
123,1,3,2025-02-26,64.03,77123.41,Rendeng,424.02,Cleaned
124,2,1,2025-02-26,187.85,26182.01,Rendeng,279.5,Cleaned
125,2,2,2025-02-26,346.95,15491.41,Rendeng,227.51,Cleaned
126,2,3,2025-02-26,71.9,84568.72,Rendeng,256.98,Cleaned
127,3,1,2025-02-26,220.76,26720.85,Rendeng,306.78,Cleaned
128,3,2,2025-02-26,254.7,15917.01,Rendeng,404.5,Cleaned
129,3,3,2025-02-26,51.0,86451.02,Rendeng,415.18,Cleaned
130,4,1,2025-02-26,259.72,26841.36,Rendeng,201.74,Cleaned
131,4,2,2025-02-26,175.95,14117.52,Rendeng,327.69,Cleaned
132,4,3,2025-02-26,50.69,78402.63,Rendeng,304.35,Cleaned
133,5,1,2025-02-26,215.02,23848.75,Rendeng,255.53,Cleaned
134,5,2,2025-02-26,337.89,13671.26,Rendeng,229.97,Cleaned
135,5,3,2025-02-26,40.81,85529.88,Rendeng,284.4,Cleaned
136,1,1,2025-03-05,423.99,27183.03,Gadu,76.0,Cleaned
137,1,2,2025-03-05,237.34,13618.03,Gadu,32.62,Cleaned
138,1,3,2025-03-05,46.78,78575.87,Gadu,46.32,Cleaned
139,2,1,2025-03-05,365.08,24761.0,Gadu,59.21,Cleaned
140,2,2,2025-03-05,201.53,16301.63,Gadu,35.45,Cleaned
141,2,3,2025-03-05,52.27,81874.65,Gadu,78.02,Cleaned
142,3,1,2025-03-05,404.57,25036.17,Gadu,77.37,Cleaned
143,3,2,2025-03-05,171.4,13624.72,Gadu,27.62,Cleaned
144,3,3,2025-03-05,51.85,79021.83,Gadu,44.81,Cleaned
145,4,1,2025-03-05,320.79,27433.15,Gadu,31.06,Cleaned
146,4,2,2025-03-05,362.55,16395.36,Gadu,29.94,Cleaned
147,4,3,2025-03-05,37.63,76583.98,Gadu,12.58,Cleaned
148,5,1,2025-03-05,194.36,27259.06,Gadu,52.67,Cleaned
149,5,2,2025-03-05,341.76,15417.36,Gadu,45.19,Cleaned
150,5,3,2025-03-05,52.97,91254.61,Gadu,13.6,Cleaned
151,1,1,2025-03-12,320.04,24773.7,Gadu,29.51,Cleaned
152,1,2,2025-03-12,327.72,15046.79,Gadu,73.58,Cleaned
153,1,3,2025-03-12,43.2,84810.39,Gadu,26.77,Cleaned
154,2,1,2025-03-12,318.58,25834.32,Gadu,20.14,Cleaned
155,2,2,2025-03-12,323.45,13918.95,Gadu,44.26,Cleaned
156,2,3,2025-03-12,42.86,77009.55,Gadu,79.0,Cleaned
157,3,1,2025-03-12,449.26,24039.65,Gadu,26.94,Cleaned
158,3,2,2025-03-12,337.91,15614.04,Gadu,57.05,Cleaned
159,3,3,2025-03-12,38.09,79931.51,Gadu,63.31,Cleaned
160,4,1,2025-03-12,352.52,25867.16,Gadu,26.63,Cleaned
161,4,2,2025-03-12,222.03,16409.74,Gadu,60.98,Cleaned
162,4,3,2025-03-12,57.87,78096.31,Gadu,35.74,Cleaned
163,5,1,2025-03-12,392.69,25863.01,Gadu,54.26,Cleaned
164,5,2,2025-03-12,234.35,14831.25,Gadu,54.35,Cleaned
165,5,3,2025-03-12,59.63,91258.42,Gadu,47.5,Cleaned
166,1,1,2025-03-19,333.02,23385.75,Gadu,16.32,Cleaned
167,1,2,2025-03-19,365.76,15577.88,Gadu,68.47,Cleaned
168,1,3,2025-03-19,68.97,90747.96,Gadu,32.45,Cleaned
169,2,1,2025-03-19,280.37,27223.07,Gadu,23.06,Cleaned
170,2,2,2025-03-19,239.7,15549.74,Gadu,12.85,Cleaned
171,2,3,2025-03-19,41.1,84951.97,Gadu,51.36,Cleaned
172,3,1,2025-03-19,234.74,25589.24,Gadu,57.43,Cleaned
173,3,2,2025-03-19,293.83,16106.71,Gadu,11.16,Cleaned
174,3,3,2025-03-19,53.41,86200.37,Gadu,45.85,Cleaned
175,4,1,2025-03-19,322.14,22651.94,Gadu,25.85,Cleaned
176,4,2,2025-03-19,366.17,16292.85,Gadu,55.16,Cleaned
177,4,3,2025-03-19,50.13,88221.95,Gadu,22.21,Cleaned
178,5,1,2025-03-19,416.28,25882.57,Gadu,58.37,Cleaned
179,5,2,2025-03-19,278.83,14147.03,Gadu,37.07,Cleaned
180,5,3,2025-03-19,77.2,87701.05,Gadu,75.57,Cleaned
181,1,1,2025-03-26,350.05,24469.32,Gadu,19.63,Cleaned
182,1,2,2025-03-26,231.43,15453.7,Gadu,33.87,Cleaned
183,1,3,2025-03-26,39.29,78312.08,Gadu,17.94,Cleaned
184,2,1,2025-03-26,338.6,25789.23,Gadu,74.73,Cleaned
185,2,2,2025-03-26,282.12,16498.24,Gadu,71.41,Cleaned
186,2,3,2025-03-26,57.14,77319.6,Gadu,28.06,Cleaned
187,3,1,2025-03-26,337.86,27385.87,Gadu,56.2,Cleaned
188,3,2,2025-03-26,294.17,14720.72,Gadu,67.21,Cleaned
189,3,3,2025-03-26,41.53,91302.81,Gadu,48.86,Cleaned
190,4,1,2025-03-26,178.81,26411.93,Gadu,47.08,Cleaned
191,4,2,2025-03-26,264.28,15201.05,Gadu,26.93,Cleaned
192,4,3,2025-03-26,58.56,89053.64,Gadu,16.52,Cleaned
193,5,1,2025-03-26,378.69,26892.58,Gadu,72.81,Cleaned
194,5,2,2025-03-26,200.34,14712.42,Gadu,73.03,Cleaned
195,5,3,2025-03-26,51.73,82059.56,Gadu,54.32,Cleaned
196,1,1,2025-04-02,330.83,25837.97,Gadu,33.73,Cleaned
197,1,2,2025-04-02,229.29,15923.54,Gadu,34.44,Cleaned
198,1,3,2025-04-02,51.54,89458.85,Gadu,60.82,Cleaned
199,2,1,2025-04-02,304.66,26489.07,Gadu,72.8,Cleaned
200,2,2,2025-04-02,208.56,14806.75,Gadu,72.1,Cleaned
201,2,3,2025-04-02,53.58,90403.18,Gadu,64.59,Cleaned
202,3,1,2025-04-02,344.86,23101.05,Gadu,54.94,Cleaned
203,3,2,2025-04-02,386.64,15133.47,Gadu,15.89,Cleaned
204,3,3,2025-04-02,60.54,76597.9,Gadu,21.31,Cleaned
205,4,1,2025-04-02,189.79,24122.93,Gadu,72.9,Cleaned
206,4,2,2025-04-02,224.97,14599.38,Gadu,52.45,Cleaned
207,4,3,2025-04-02,55.15,83234.94,Gadu,10.64,Cleaned
208,5,1,2025-04-02,341.1,25977.34,Gadu,17.1,Cleaned
209,5,2,2025-04-02,185.66,14665.67,Gadu,56.45,Cleaned
211,1,1,2025-04-09,345.67,24743.47,Gadu,10.35,Cleaned
212,1,2,2025-04-09,390.85,14212.63,Gadu,21.26,Cleaned
213,1,3,2025-04-09,59.54,82845.28,Gadu,48.41,Cleaned
214,2,1,2025-04-09,352.11,23636.35,Gadu,58.43,Cleaned
215,2,2,2025-04-09,274.78,13719.59,Gadu,55.64,Cleaned
216,2,3,2025-04-09,57.59,86758.63,Gadu,25.7,Cleaned
217,3,1,2025-04-09,238.17,25841.06,Gadu,59.85,Cleaned
218,3,2,2025-04-09,281.05,15358.47,Gadu,26.61,Cleaned
219,3,3,2025-04-09,45.15,84379.4,Gadu,32.78,Cleaned
220,4,1,2025-04-09,306.55,24398.93,Gadu,62.25,Cleaned
221,4,2,2025-04-09,485.17,16090.0,Gadu,55.47,Cleaned
222,4,3,2025-04-09,31.33,85324.39,Gadu,69.45,Cleaned
223,5,1,2025-04-09,354.9,24895.91,Gadu,56.03,Cleaned
224,5,2,2025-04-09,170.98,13576.93,Gadu,49.78,Cleaned
225,5,3,2025-04-09,45.28,82301.21,Gadu,16.56,Cleaned
226,1,1,2025-04-16,387.12,24400.98,Gadu,35.74,Cleaned
227,1,2,2025-04-16,305.14,14696.47,Gadu,28.56,Cleaned
228,1,3,2025-04-16,39.22,86362.93,Gadu,27.08,Cleaned
229,2,1,2025-04-16,242.78,25168.01,Gadu,78.11,Cleaned
230,2,2,2025-04-16,354.37,15323.72,Gadu,37.52,Cleaned
231,2,3,2025-04-16,42.7,89503.02,Gadu,72.44,Cleaned
232,3,1,2025-04-16,317.32,26564.93,Gadu,54.18,Cleaned
233,3,2,2025-04-16,303.65,15654.37,Gadu,65.64,Cleaned
234,3,3,2025-04-16,43.48,92743.9,Gadu,45.18,Cleaned
235,4,1,2025-04-16,471.52,22591.16,Gadu,50.38,Cleaned
236,4,2,2025-04-16,350.71,14087.33,Gadu,44.48,Cleaned
237,4,3,2025-04-16,29.75,76628.57,Gadu,23.67,Cleaned
238,5,1,2025-04-16,314.92,25737.37,Gadu,60.57,Cleaned
239,5,2,2025-04-16,247.06,16194.09,Gadu,29.65,Cleaned
240,5,3,2025-04-16,58.52,80639.2,Gadu,11.7,Cleaned
241,1,1,2025-04-23,324.19,27135.17,Gadu,55.18,Cleaned
242,1,2,2025-04-23,290.82,13680.8,Gadu,22.4,Cleaned
243,1,3,2025-04-23,55.05,92385.41,Gadu,75.83,Cleaned
244,2,1,2025-04-23,369.26,24258.11,Gadu,76.78,Cleaned
245,2,2,2025-04-23,358.17,13804.26,Gadu,74.04,Cleaned
246,2,3,2025-04-23,46.65,84759.82,Gadu,35.91,Cleaned
247,3,1,2025-04-23,262.0,23783.88,Gadu,11.08,Cleaned
248,3,2,2025-04-23,247.73,14354.62,Gadu,74.98,Cleaned
249,3,3,2025-04-23,67.65,81723.93,Gadu,39.97,Cleaned
250,4,1,2025-04-23,332.4,26515.13,Gadu,77.67,Cleaned
251,4,2,2025-04-23,199.13,15117.48,Gadu,77.45,Cleaned
252,4,3,2025-04-23,59.18,81792.23,Gadu,69.71,Cleaned
253,5,1,2025-04-23,469.77,25551.67,Gadu,30.61,Cleaned
254,5,2,2025-04-23,382.6,15648.45,Gadu,36.96,Cleaned
255,5,3,2025-04-23,34.81,81134.61,Gadu,69.58,Cleaned
256,1,1,2025-04-30,261.26,24567.75,Gadu,32.18,Cleaned
257,1,2,2025-04-30,401.35,13865.66,Gadu,21.86,Cleaned
258,1,3,2025-04-30,42.92,79579.54,Gadu,48.98,Cleaned
259,2,1,2025-04-30,335.51,25905.59,Gadu,75.53,Cleaned
260,2,2,2025-04-30,361.97,14044.32,Gadu,58.72,Cleaned
261,2,3,2025-04-30,40.73,85427.78,Gadu,49.9,Cleaned
262,3,1,2025-04-30,295.24,26045.23,Gadu,16.8,Cleaned
264,3,3,2025-04-30,39.76,78316.91,Gadu,53.05,Cleaned
265,4,1,2025-04-30,279.79,25336.56,Gadu,79.3,Cleaned
266,4,2,2025-04-30,200.18,14269.69,Gadu,19.81,Cleaned
267,4,3,2025-04-30,66.32,92869.76,Gadu,46.28,Cleaned
268,5,1,2025-04-30,185.59,24917.73,Gadu,71.42,Cleaned
269,5,2,2025-04-30,264.8,15917.98,Gadu,61.85,Cleaned
270,5,3,2025-04-30,51.31,85853.85,Gadu,58.79,Cleaned
271,1,1,2025-05-07,415.3,22717.06,Gadu,59.17,Cleaned
272,1,2,2025-05-07,185.13,15399.45,Gadu,35.16,Cleaned
273,1,3,2025-05-07,61.63,92673.86,Gadu,30.55,Cleaned
274,2,1,2025-05-07,300.82,25508.06,Gadu,66.66,Cleaned
275,2,2,2025-05-07,221.48,15957.57,Gadu,66.71,Cleaned
276,2,3,2025-05-07,54.62,91531.51,Gadu,70.7,Cleaned
277,3,1,2025-05-07,315.92,23640.4,Gadu,73.93,Cleaned
278,3,2,2025-05-07,251.98,14136.13,Gadu,45.79,Cleaned
279,3,3,2025-05-07,50.7,86886.68,Gadu,45.11,Cleaned
280,4,1,2025-05-07,269.17,24555.14,Gadu,65.88,Cleaned
281,4,2,2025-05-07,309.08,16019.58,Gadu,55.5,Cleaned
282,4,3,2025-05-07,56.62,91800.39,Gadu,59.14,Cleaned
283,5,1,2025-05-07,426.88,24267.11,Gadu,65.71,Cleaned
284,5,2,2025-05-07,200.97,14210.61,Gadu,72.3,Cleaned
285,5,3,2025-05-07,71.33,89768.93,Gadu,33.66,Cleaned
286,1,1,2025-05-14,143.83,23874.03,Gadu,36.29,Cleaned
287,1,2,2025-05-14,287.86,15967.84,Gadu,16.58,Cleaned
288,1,3,2025-05-14,55.88,83703.55,Gadu,50.48,Cleaned
289,2,1,2025-05-14,322.48,25837.75,Gadu,12.52,Cleaned
290,2,2,2025-05-14,250.18,13786.61,Gadu,42.59,Cleaned
291,2,3,2025-05-14,47.92,87105.61,Gadu,47.99,Cleaned
292,3,1,2025-05-14,260.56,24758.84,Gadu,30.06,Cleaned
293,3,2,2025-05-14,252.85,15259.83,Gadu,51.36,Cleaned
294,3,3,2025-05-14,58.5,79356.24,Gadu,12.14,Cleaned
295,4,1,2025-05-14,328.56,26184.37,Gadu,12.61,Cleaned
296,4,2,2025-05-14,244.57,16088.39,Gadu,67.58,Cleaned
297,4,3,2025-05-14,59.0,80184.58,Gadu,35.21,Cleaned
298,5,1,2025-05-14,396.46,22978.57,Gadu,18.89,Cleaned
299,5,2,2025-05-14,365.03,13570.92,Gadu,46.56,Cleaned
300,5,3,2025-05-14,56.3,87413.52,Gadu,63.9,Cleaned
301,1,1,2025-05-21,233.68,25535.47,Gadu,25.11,Cleaned
302,1,2,2025-05-21,255.19,15140.09,Gadu,53.6,Cleaned
303,1,3,2025-05-21,57.47,80443.1,Gadu,15.97,Cleaned
304,2,1,2025-05-21,348.83,24454.53,Gadu,13.62,Cleaned
305,2,2,2025-05-21,298.33,15283.43,Gadu,47.19,Cleaned
306,2,3,2025-05-21,51.17,84945.04,Gadu,47.84,Cleaned
307,3,1,2025-05-21,304.09,27438.93,Gadu,54.62,Cleaned
308,3,2,2025-05-21,252.67,13909.32,Gadu,60.83,Cleaned
309,3,3,2025-05-21,55.47,88317.46,Gadu,78.31,Cleaned
310,4,1,2025-05-21,283.82,24521.59,Gadu,46.14,Cleaned
311,4,2,2025-05-21,282.59,14784.6,Gadu,32.61,Cleaned
312,4,3,2025-05-21,60.99,88699.16,Gadu,65.66,Cleaned
313,5,1,2025-05-21,366.03,25962.18,Gadu,28.96,Cleaned
314,5,2,2025-05-21,365.08,16473.77,Gadu,40.73,Cleaned
315,5,3,2025-05-21,63.05,78682.7,Gadu,15.49,Cleaned
316,1,1,2025-05-28,301.68,23020.55,Gadu,11.77,Cleaned
317,1,2,2025-05-28,354.56,15673.02,Gadu,77.39,Cleaned
318,1,3,2025-05-28,46.9,86332.58,Gadu,68.52,Cleaned
319,2,1,2025-05-28,325.93,23870.8,Gadu,58.72,Cleaned
320,2,2,2025-05-28,289.59,13738.26,Gadu,38.63,Cleaned
321,2,3,2025-05-28,50.97,77956.19,Gadu,22.13,Cleaned
322,3,1,2025-05-28,347.61,26970.95,Gadu,20.95,Cleaned
323,3,2,2025-05-28,234.54,14075.6,Gadu,27.52,Cleaned
324,3,3,2025-05-28,70.92,81997.32,Gadu,48.45,Cleaned
325,4,1,2025-05-28,219.52,23633.28,Gadu,60.02,Cleaned
326,4,2,2025-05-28,202.86,14564.99,Gadu,56.21,Cleaned
327,4,3,2025-05-28,61.58,77680.21,Gadu,29.6,Cleaned
328,5,1,2025-05-28,363.33,25095.3,Gadu,76.84,Cleaned
329,5,2,2025-05-28,349.93,13702.84,Gadu,61.65,Cleaned
330,5,3,2025-05-28,56.28,90106.06,Gadu,48.8,Cleaned
331,1,1,2025-06-04,299.02,23668.56,Gadu,52.82,Cleaned
332,1,2,2025-06-04,228.22,15120.04,Gadu,39.37,Cleaned
333,1,3,2025-06-04,50.76,91461.34,Gadu,27.34,Cleaned
334,2,1,2025-06-04,245.83,25754.39,Gadu,34.92,Cleaned
335,2,2,2025-06-04,378.01,15098.87,Gadu,63.05,Cleaned
336,2,3,2025-06-04,48.53,82013.67,Gadu,11.01,Cleaned
337,3,1,2025-06-04,233.96,24165.01,Gadu,18.13,Cleaned
338,3,2,2025-06-04,274.29,15508.46,Gadu,13.22,Cleaned
339,3,3,2025-06-04,54.13,93400.37,Gadu,12.85,Cleaned
340,4,1,2025-06-04,254.9,25809.2,Gadu,69.88,Cleaned
341,4,2,2025-06-04,234.22,15173.35,Gadu,59.26,Cleaned
342,4,3,2025-06-04,52.44,88921.06,Gadu,43.19,Cleaned
343,5,1,2025-06-04,319.6,24826.03,Gadu,16.85,Cleaned
344,5,2,2025-06-04,259.44,13680.43,Gadu,44.41,Cleaned
345,5,3,2025-06-04,45.29,86059.05,Gadu,43.14,Cleaned
346,1,1,2025-06-11,318.56,27288.13,Gadu,22.12,Cleaned
347,1,2,2025-06-11,184.15,14025.91,Gadu,40.37,Cleaned
348,1,3,2025-06-11,35.93,88230.08,Gadu,37.9,Cleaned
349,2,1,2025-06-11,242.52,23504.67,Gadu,53.11,Cleaned
350,2,2,2025-06-11,282.92,15107.48,Gadu,54.46,Cleaned
351,2,3,2025-06-11,53.11,78143.5,Gadu,13.17,Cleaned
352,3,1,2025-06-11,418.03,24751.85,Gadu,36.22,Cleaned
353,3,2,2025-06-11,368.61,15768.49,Gadu,53.81,Cleaned
354,3,3,2025-06-11,48.4,82408.72,Gadu,45.22,Cleaned
355,4,1,2025-06-11,298.48,25824.56,Gadu,69.95,Cleaned
356,4,2,2025-06-11,219.8,15886.35,Gadu,56.11,Cleaned
357,4,3,2025-06-11,49.81,92262.02,Gadu,21.41,Cleaned
358,5,1,2025-06-11,276.91,23673.21,Gadu,14.94,Cleaned
359,5,2,2025-06-11,325.82,14697.95,Gadu,54.97,Cleaned
360,5,3,2025-06-11,41.73,79091.07,Gadu,11.86,Cleaned
361,1,1,2025-06-18,341.55,27462.42,Gadu,51.0,Cleaned
362,1,2,2025-06-18,276.97,16281.0,Gadu,75.82,Cleaned
363,1,3,2025-06-18,48.91,85679.27,Gadu,50.28,Cleaned
364,2,1,2025-06-18,332.14,26710.17,Gadu,37.17,Cleaned
365,2,2,2025-06-18,355.21,15062.87,Gadu,55.03,Cleaned
366,2,3,2025-06-18,45.99,87100.96,Gadu,42.08,Cleaned
367,3,1,2025-06-18,317.93,22945.62,Gadu,48.19,Cleaned
368,3,2,2025-06-18,301.01,15765.81,Gadu,75.9,Cleaned
369,3,3,2025-06-18,50.98,78671.13,Gadu,37.03,Cleaned
370,4,1,2025-06-18,238.16,26630.34,Gadu,77.28,Cleaned
371,4,2,2025-06-18,301.96,15846.08,Gadu,73.37,Cleaned
372,4,3,2025-06-18,54.98,88548.66,Gadu,23.71,Cleaned
373,5,1,2025-06-18,416.09,22680.8,Gadu,14.86,Cleaned
